"RTD End Time Stamp","Zone Name","Zone PTID","RTD 10 Min Sync","RTD 10 Min Non Sync","RTD 30 Min Non Sync","RTD NYCA Regulation Capacity","RTD NYCA Regulation Movement","RTD AS Price Version"
"2019/02/27 00:40:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 00:40:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 00:40:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 00:40:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 00:40:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 00:40:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 00:40:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 00:45:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 00:45:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 00:45:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 00:45:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 00:45:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 00:45:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 00:45:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 00:45:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 00:45:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 00:45:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 00:45:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 00:50:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 00:50:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 00:50:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 00:50:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 00:50:00","HUD VL","61758","0","0","0","3","0.3","1"
"2019/02/27 00:50:00","LONGIL","61762","0","0","0","3","0.3","1"
"2019/02/27 00:50:00","MHK VL","61756","0","0","0","3","0.3","1"
"2019/02/27 00:50:00","MILLWD","61759","0","0","0","3","0.3","1"
"2019/02/27 00:50:00","N.Y.C.","61761","0","0","0","3","0.3","1"
"2019/02/27 00:50:00","NORTH","61755","0","0","0","3","0.3","1"
"2019/02/27 00:50:00","WEST","61752","0","0","0","3","0.3","1"
"2019/02/27 00:55:00","CAPITL","61757","0","0","0","3","0.3","1"
"2019/02/27 00:55:00","CENTRL","61754","0","0","0","3","0.3","1"
"2019/02/27 00:55:00","DUNWOD","61760","0","0","0","3","0.3","1"
"2019/02/27 00:55:00","GENESE","61753","0","0","0","3","0.3","1"
"2019/02/27 00:55:00","HUD VL","61758","0","0","0","3","0.3","1"
